"year","us_publications","focal_publications"
1991,332078,407
1992,340184,416
1993,384628,548
1994,417469,802
1995,426794,945
1996,430256,1018
1997,430512,847
1998,428016,1652
1999,421471,1556
2000,435832,1772
2001,426717,1974
2002,441637,2210
2003,463820,2720
2004,490312,2898
2005,522882,3322
2006,549014,3776
2007,569334,4020
2008,587802,4082
2009,618265,4187
2010,632296,4348
2011,652363,4537
2012,682596,4632
2013,702373,4909
2014,733515,5204
2015,744674,5329
2016,778808,5706
2017,800121,5849
2018,816366,6031
2020,861576,6140
2021,852003,6490
2022,787927,5849
2023,762311,5541
2024,749397,5726
2025,451632,3178
